Study ID,Title,Citation,Study Type,Sampling Method,Study Population,Study population category,Case Definition,Case definition category,Date Start,Date End,Study Context,Outbreak Description,Notes,Entry ID,Entry Description,Country ISO3 Code,GADM Admin 0,"GADM Admin 1, when available","GADM Admin 2, when available","GADM Admin 3, when available",Precise Place Name,Urban or Rural,Location Description,Care Seeking Questions,Multiple Choices,Timing of care seeking,Regarding self or child,Recall time (in days),Facility or location sought as written in transcript,Type of care facility sought (standardized),N surveyed if they WOULD seek care,N who said they WOULD seek care,N surveyed if they DID seek care,N who actually DID seek care,Additional Information,Age lower (of individual with diarrhea in years),Age Upper (of individual with diarrhea in years),Proportion of individuals with diarrhea <5 years old,Sex (of individual with diarrhea),Diarrhea severity,Diarrhea symptoms,Nutrition Status,Overlapping Study,Percents converted to numbers,Comments,Extractor Initials,Status,Primary dataset,Stratified time,Stratified geographic location,Stratified urban rural,Stratified age,Stratified sex,Stratified severity,Overlaps checked,Overlaps Decision,Is this data internally consistent?,Was the sample size justified?,Was the non-response rate reported?,Non-response description,Comments
122,Health seeking behavior among Malaysians with acute diarrheal disease.,PMID: 21710867,Survey,Stratified,Population of Malaysia,Resident,Three or more episodes of loose stool in a 24 hour period,Diarrhea (3+ loose/liquid stools),04/01/2006,08/18/2006,,No outbreak description,"Sampling from April to mid-August 2006, exact dates assumed; National Health and Morbidity Survey III",122_k,Urban,MYS,Malaysia,,,,,Urban,,Was care sought outside the home?,0,Any care,Other (describe in notes),28,Sought Care,Any care outside home,,,1494,662,"Mothers or guardians answered for those 12 and younger, those 13 and older self-reported",,,,,,,,1,1,,MHM,Complete,0,0,0,1,0,0,0,1,Data stratified by age labeled primary dataset  ,0,,,,
122,Health seeking behavior among Malaysians with acute diarrheal disease.,PMID: 21710867,Survey,Stratified,Population of Malaysia,Resident,Three or more episodes of loose stool in a 24 hour period,Diarrhea (3+ loose/liquid stools),04/01/2006,08/18/2006,,No outbreak description,"Sampling from April to mid-August 2006, exact dates assumed; National Health and Morbidity Survey III",122_l,Rural,MYS,Malaysia,,,,,Rural,,Was care sought outside the home?,0,Any care,Other (describe in notes),28,Sought Care,Any care outside home,,,1263,528,"Mothers or guardians answered for those 12 and younger, those 13 and older self-reported",,,,,,,,1,1,,MHM,Complete,0,0,0,1,0,0,0,1,Data stratified by age labeled primary dataset  ,0,,,,
123,"Health care utilization for acute illnesses in an urban setting with a refugee population in Nairobi, Kenya: a cross-sectional survey",doi.org/10.1186/1472-6963-14-200,Survey,Cluster,Household members in Eastleigh North Division,Resident,Three or more episodes of loose stool in a 24 hour period,Diarrhea (3+ loose/liquid stools),07/29/2010,08/14/2010,,No outbreak description,"Study attempted, in selection of location, to target refugees. By law in Kenya refugees are not restricted from accessing health care services from government-run facilities, but Kenyan law does require refugees to reside within designated refugee camps, which Eastwick is not. In response, the survey did not ask about immigration status/place of birth, but about the caretaker and his/her parent's place of birth. This information was used to identifty potential refugees, which the study estimates was approximately 50% of those sampled",123_a,All data,KEN,Kenya,Nairobi,Kamukunji,Eastleigh North Division,,Peri-Urban,"Most urban refugees from Somalia, Ethiopia, and Eritrea live in and around the neighborhood of Eastleigh, a suburb in eastern Nairobi inhabited largely by Somalis. The Somali population in Eastleigh includes both Kenyan nationals and people who have migrated from Somalia. The presence of this large Somali community in Eastleigh attracts new refugee arrivals from Somalia as well as from the two camp sites, Dadaab and Kakuma",Was health care sought? By what type of provider?,0,Any care,Other (describe in notes),30,Private health care provider,Private Hospital/Clinic,,,49,21,Caretakers served as proxies to answer questions for children less than 18 years of age or for people unavailable at the time of the interview; One month assumed to be 30 days,,,0.51,,,,,0,0,Care seeking information (did or did not) missing for one participant and one participant who sought care did not know the name of the site they visited,MHM,Complete,1,0,0,0,0,0,0,1,,,,,,
123,"Health care utilization for acute illnesses in an urban setting with a refugee population in Nairobi, Kenya: a cross-sectional survey",doi.org/10.1186/1472-6963-14-200,Survey,Cluster,Household members in Eastleigh North Division,Resident,Three or more episodes of loose stool in a 24 hour period,Diarrhea (3+ loose/liquid stools),07/29/2010,08/14/2010,,No outbreak description,"Study attempted, in selection of location, to target refugees. By law in Kenya refugees are not restricted from accessing health care services from government-run facilities, but Kenyan law does require refugees to reside within designated refugee camps, which Eastwick is not. In response, the survey did not ask about immigration status/place of birth, but about the caretaker and his/her parent's place of birth. This information was used to identifty potential refugees, which the study estimates was approximately 50% of those sampled",123_a,All data,KEN,Kenya,Nairobi,Kamukunji,Eastleigh North Division,,Peri-Urban,"Most urban refugees from Somalia, Ethiopia, and Eritrea live in and around the neighborhood of Eastleigh, a suburb in eastern Nairobi inhabited largely by Somalis. The Somali population in Eastleigh includes both Kenyan nationals and people who have migrated from Somalia. The presence of this large Somali community in Eastleigh attracts new refugee arrivals from Somalia as well as from the two camp sites, Dadaab and Kakuma",Was health care sought? By what type of provider?,0,Any care,Other (describe in notes),30,Pharmacy/Chemist/Drug seller,Pharmacy,,,49,5,Caretakers served as proxies to answer questions for children less than 18 years of age or for people unavailable at the time of the interview; One month assumed to be 30 days,,,0.51,,,,,0,0,Care seeking information (did or did not) missing for one participant and one participant who sought care did not know the name of the site they visited,MHM,Complete,1,0,0,0,0,0,0,1,,,,,,
123,"Health care utilization for acute illnesses in an urban setting with a refugee population in Nairobi, Kenya: a cross-sectional survey",doi.org/10.1186/1472-6963-14-200,Survey,Cluster,Household members in Eastleigh North Division,Resident,Three or more episodes of loose stool in a 24 hour period,Diarrhea (3+ loose/liquid stools),07/29/2010,08/14/2010,,No outbreak description,"Study attempted, in selection of location, to target refugees. By law in Kenya refugees are not restricted from accessing health care services from government-run facilities, but Kenyan law does require refugees to reside within designated refugee camps, which Eastwick is not. In response, the survey did not ask about immigration status/place of birth, but about the caretaker and his/her parent's place of birth. This information was used to identifty potential refugees, which the study estimates was approximately 50% of those sampled",123_a,All data,KEN,Kenya,Nairobi,Kamukunji,Eastleigh North Division,,Peri-Urban,"Most urban refugees from Somalia, Ethiopia, and Eritrea live in and around the neighborhood of Eastleigh, a suburb in eastern Nairobi inhabited largely by Somalis. The Somali population in Eastleigh includes both Kenyan nationals and people who have migrated from Somalia. The presence of this large Somali community in Eastleigh attracts new refugee arrivals from Somalia as well as from the two camp sites, Dadaab and Kakuma",Was health care sought? By what type of provider?,0,Any care,Other (describe in notes),30,Government facility,Public Hospital/Clinic,,,49,7,Caretakers served as proxies to answer questions for children less than 18 years of age or for people unavailable at the time of the interview; One month assumed to be 30 days,,,0.51,,,,,0,0,Care seeking information (did or did not) missing for one participant and one participant who sought care did not know the name of the site they visited,MHM,Complete,1,0,0,0,0,0,0,1,,,,,,
123,"Health care utilization for acute illnesses in an urban setting with a refugee population in Nairobi, Kenya: a cross-sectional survey",doi.org/10.1186/1472-6963-14-200,Survey,Cluster,Household members in Eastleigh North Division,Resident,Three or more loose stools over a 24-hour period,Diarrhea (3+ loose/liquid stools),07/29/2010,08/14/2010,,No outbreak description,"Study attempted, in selection of location, to target refugees. By law in Kenya refugees are not restricted from accessing health care services from government-run facilities, but Kenyan law does require refugees to reside within designated refugee camps, which Eastwick is not. In response, the survey did not ask about immigration status/place of birth, but about the caretaker and his/her parent's place of birth. This information was used to identifty potential refugees, which the study estimates was approximately 50% of those sampled",123_a,All data,KEN,Kenya,Nairobi,Kamukunji,Eastleigh North Division,,Peri-Urban,"Most urban refugees from Somalia, Ethiopia, and Eritrea live in and around the neighborhood of Eastleigh, a suburb in eastern Nairobi inhabited largely by Somalis. The Somali population in Eastleigh includes both Kenyan nationals and people who have migrated from Somalia. The presence of this large Somali community in Eastleigh attracts new refugee arrivals from Somalia as well as from the two camp sites, Dadaab and Kakuma",Was health care sought? By what type of provider?,0,Any care,Other (describe in notes),30,Individual,Other,,,49,3,"Caretakers served as proxies to answer questions for children less than 18 years of age or for people unavailable at the time of the interview; One month assumed to be 30 days
Individuals included relatives, friends, religious leaders, traditionals healers and health volunteers",,,0.51,,,,,0,0,Care seeking information (did or did not) missing for one participant and one participant who sought care did not know the name of the site they visited,MHM,Complete,1,0,0,0,0,0,0,1,,,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),05/08/2007,06/28/2007,,No outbreak description,,124_k,Survey 1; any care,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Where was care sought outside the home?,0,Any care,Child,14,Any care outside the home,Any care outside home,,,67,44,,0,4,1,,,,,1,0,,MHM,Complete,0,0,0,0,0,0,0,1,"Overlaps with study #40; 124 marked as primary dataset due to concerns about validity of care seeking in study #40. Care-seeking in table 3, defined as first source of care, adds up to over 100%. #124 additionally has care seeking information stratified by age and sex. Care seeking data available by facility type, which is more specific, and that data (124_a) labeled as primary.",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),05/08/2007,06/28/2007,,No outbreak description,,124_a,Survey 1; location,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Where was care sought outside the home?,1,Any care,Child,14,Sentinel health facilities,Hospital/Clinic,,,67,41,,0,4,1,,,,,1,0,,MHM,Complete,1,0,0,0,0,0,0,1,"Overlaps with study #40; 124 marked as primary dataset due to concerns about validity of care seeking in study #40. Care-seeking in table 3, defined as first source of care, adds up to over 100%. #124 additionally has care seeking information stratified by age and sex. Care seeking by location type, but with multiple choice options labeled as primary data rather than data reporting total who sought care.",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),05/08/2007,06/28/2007,,No outbreak description,,124_a,Survey 1; location,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Where was care sought outside the home?,1,Any care,Child,14,Pharmacy,Pharmacy,,,67,3,,0,4,1,,,,,1,0,,MHM,Complete,1,0,0,0,0,0,0,1,"Overlaps with study #40; 124 marked as primary dataset due to concerns about validity of care seeking in study #40. Care-seeking in table 3, defined as first source of care, adds up to over 100%. #124 additionally has care seeking information stratified by age and sex. Care seeking by location type, but with multiple choice options labeled as primary data rather than data reporting total who sought care.",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),05/08/2007,06/28/2007,,No outbreak description,,124_a,Survey 1; location,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Where was care sought outside the home?,1,Any care,Child,14,Shop/Market,Pharmacy,,,67,1,,0,4,1,,,,,1,0,,MHM,Complete,1,0,0,0,0,0,0,1,"Overlaps with study #40; 124 marked as primary dataset due to concerns about validity of care seeking in study #40. Care-seeking in table 3, defined as first source of care, adds up to over 100%. #124 additionally has care seeking information stratified by age and sex. Care seeking by location type, but with multiple choice options labeled as primary data rather than data reporting total who sought care.",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),05/08/2007,06/28/2007,,No outbreak description,,124_a,Survey 1; location,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Where was care sought outside the home?,1,Any care,Child,14,Traditional healer,Traditional Healer,,,67,1,,0,4,1,,,,,1,0,,MHM,Complete,1,0,0,0,0,0,0,1,"Overlaps with study #40; 124 marked as primary dataset due to concerns about validity of care seeking in study #40. Care-seeking in table 3, defined as first source of care, adds up to over 100%. #124 additionally has care seeking information stratified by age and sex. Care seeking by location type, but with multiple choice options labeled as primary data rather than data reporting total who sought care.",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),05/08/2007,06/28/2007,,No outbreak description,,124_a,Survey 1; location,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Where was care sought outside the home?,1,Any care,Child,14,Unlicensed practitioner,Other,,,67,0,,0,4,1,,,,,1,0,,MHM,Complete,1,0,0,0,0,0,0,1,"Overlaps with study #40; 124 marked as primary dataset due to concerns about validity of care seeking in study #40. Care-seeking in table 3, defined as first source of care, adds up to over 100%. #124 additionally has care seeking information stratified by age and sex. Care seeking by location type, but with multiple choice options labeled as primary data rather than data reporting total who sought care.",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),05/08/2007,06/28/2007,,No outbreak description,,124_b,Survey 1; 0-11 months,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Was care sought outside the home?,0,Any care,Child,14,Health use,Hospital/Clinic,,,34,20,,,0.92,1,,,,,1,1,,MHM,Complete,0,0,0,0,1,0,0,1,"Overlaps with study #40; 124 marked as primary dataset due to concerns about validity of care seeking in study #40. Care-seeking in table 3, defined as first source of care, adds up to over 100%. #124 additionally has care seeking information stratified by age and sex. Care seeking stratified by age, when all stratifications are among those under five, not primary. ",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),05/08/2007,06/28/2007,,No outbreak description,,124_c,Survey 1; 12-23 months,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Was care sought outside the home?,0,Any care,Child,14,Health use,Hospital/Clinic,,,25,15,,1,1,1,,,,,1,1,,MHM,Complete,0,0,0,0,1,0,0,1,"Overlaps with study #40; 124 marked as primary dataset due to concerns about validity of care seeking in study #40. Care-seeking in table 3, defined as first source of care, adds up to over 100%. #124 additionally has care seeking information stratified by age and sex.",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),05/08/2007,06/28/2007,,No outbreak description,,124_d,Survey 1; 24-59 months,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Was care sought outside the home?,0,Any care,Child,14,Health use,Hospital/Clinic,,,8,6,,2,4,1,,,,,1,1,,MHM,Complete,0,0,0,0,1,0,0,1,"Overlaps with study #40; 124 marked as primary dataset due to concerns about validity of care seeking in study #40. Care-seeking in table 3, defined as first source of care, adds up to over 100%. #124 additionally has care seeking information stratified by age and sex.",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,"Diarrhea: increased frequency and volume and decreased consistency from the norm
MSD: diarrhea with at least one of the following: (1) at least one of the following signs indicating MSD: sunken eyes significantly more than normal, wrinkled skin, or intravenous fluids administered at the health center (as referred by the mother in the interview), (2) dysentery (diarrhea with visible blood in stool), or (3) hospitalization for diarrhea or dysentery","Severe diarrhea (danger signs, dehydration, hospitalization, 1+ week)",05/08/2007,06/28/2007,,No outbreak description,,124_e,Survey 1; MSD,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Was care sought outside the home?,0,Any care,Child,14,Sentinel health facilities,Hospital/Clinic,,,21,18,,0,4,1,,Moderate-to-severe,"(1) Sunken eyes significantly more than normal, wrinkled skin, or intravenous fluids administered at the health center (as referred by the mother in the interview), (2) dysentery (diarrhea with visible blood in stool), or (3) hospitalization for diarrhea or dysentery",,1,1,,MHM,Complete,0,0,0,0,0,0,1,1,"Overlaps with study #40; 124 marked as primary dataset due to concerns about validity of care seeking in study #40. Care-seeking in table 3, defined as first source of care, adds up to over 100%. #124 additionally has care seeking information stratified by age and sex. MSD subset of diarrhea care seeking, already reported.",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),05/08/2007,06/28/2007,,No outbreak description,All primary caretakers whose child did not have diarrhea during the preceding 2 weeks were asked about their likely use of health centers should their children hypothetically develop diarrhe,124_f,Survey 1; hypothetical care,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Would you seek care outside of the home in case of diarrhea?,0,Any care,Child,14,Medical attention,Any care outside home,995,991,,,,0,4,1,,,,,1,0,,MHM,Complete,1,0,0,0,0,0,0,1,"Hypothetical care only asked of those whose children did not have diarrhea, so no overlap with reports of where was actually sought.",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),02/16/2009,12/30/2010,"Sampling periods accounted for changes in healthcare use that may occur because of seasonality (flooding, harvest season, holidays) or secular events (elections, unrest)",No outbreak description,"Sampling included a series of four repeated cross-sectional assessments that took place between February 16, 2009 and December 30, 2010.",124_g,Survey 2; location,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Where was care sought outside the home?,1,Any care,Child,14,Sentinel health facilities,Hospital/Clinic,,,246,109,,0,4,1,,,,,1,0,,MHM,Complete,1,0,0,0,0,0,0,1,"Results from survey two two not reported in #40, data does not overlap",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),02/16/2009,12/30/2010,"Sampling periods accounted for changes in healthcare use that may occur because of seasonality (flooding, harvest season, holidays) or secular events (elections, unrest)",No outbreak description,"Sampling included a series of four repeated cross-sectional assessments that took place between February 16, 2009 and December 30, 2010.",124_g,Survey 2; location,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Where was care sought outside the home?,1,Any care,Child,14,Pharmacy,Pharmacy,,,246,3,,0,4,1,,,,,1,0,,MHM,Complete,1,0,0,0,0,0,0,1,"Results from survey two two not reported in #40, data does not overlap",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),02/16/2009,12/30/2010,"Sampling periods accounted for changes in healthcare use that may occur because of seasonality (flooding, harvest season, holidays) or secular events (elections, unrest)",No outbreak description,"Sampling included a series of four repeated cross-sectional assessments that took place between February 16, 2009 and December 30, 2010.",124_g,Survey 2; location,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Where was care sought outside the home?,1,Any care,Child,14,Shop/Market,Pharmacy,,,246,3,,0,4,1,,,,,1,0,,MHM,Complete,1,0,0,0,0,0,0,1,"Results from survey two two not reported in #40, data does not overlap",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),02/16/2009,12/30/2010,"Sampling periods accounted for changes in healthcare use that may occur because of seasonality (flooding, harvest season, holidays) or secular events (elections, unrest)",No outbreak description,"Sampling included a series of four repeated cross-sectional assessments that took place between February 16, 2009 and December 30, 2010.",124_g,Survey 2; location,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Where was care sought outside the home?,1,Any care,Child,14,Traditional healer,Traditional Healer,,,246,6,,0,4,1,,,,,1,0,,MHM,Complete,1,0,0,0,0,0,0,1,"Results from survey two two not reported in #40, data does not overlap",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),02/16/2009,12/30/2010,"Sampling periods accounted for changes in healthcare use that may occur because of seasonality (flooding, harvest season, holidays) or secular events (elections, unrest)",No outbreak description,"Sampling included a series of four repeated cross-sectional assessments that took place between February 16, 2009 and December 30, 2010.",124_g,Survey 2; location,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Where was care sought outside the home?,1,Any care,Child,14,Unlicensed practitioner,Other,,,246,2,,0,4,1,,,,,1,0,,MHM,Complete,1,0,0,0,0,0,0,1,"Results from survey two two not reported in #40, data does not overlap",,,,,
124,"Health Care Utilization and Attitudes Survey in Cases of Moderate-to-Severe Diarrhea among Children Ages 0–59 Months in the District of Manhic¸a, Southern Mozambique",doi.org/10.4269/ajtmh.12-0754,Survey,Simple random,Caregivers of children under 5 living in a HUAS surveillance zone who had an episode of diarrhea in the past 14 days,Caregiver,Diarrhea: increased frequency and volume and decreased consistency from the norm,Diarrhea (3+ loose/liquid stools),02/16/2009,12/30/2010,"Sampling periods accounted for changes in healthcare use that may occur because of seasonality (flooding, harvest season, holidays) or secular events (elections, unrest)",No outbreak description,"Sampling included a series of four repeated cross-sectional assessments that took place between February 16, 2009 and December 30, 2010.",124_h,Survey 2; 0-11 months,MOZ,Mozambique,Maputo,Manhi√ßa,,Manhica,Rural,"In Manhica, the climate is subtropical, with two distinct seasons: a warm and rainy season, usually spanning from November to April, and a generally cooler and drier season during the rest of the year. Area has high rates of malaria and HIV.",Was care sought outside the home?,0,Any care,Child,14,Health use,Hospital/Clinic,,,111,51,,,0.92,1,,,,,1,1,,MHM,Complete,0,0,0,0,1,0,0,1,"Data stratified by age into months and without specific care seeking locations not primary, but does overlap ",,,,,
