Study ID,Title,Citation,Study Type,Sampling Method,Study Population,Case Definition,Date Start,Date End,Study Context,Outbreak Description,Notes,Entry ID,Entry Description,Country ISO3 Code,GADM Admin 0,"GADM Admin 1, when available","GADM Admin 2, when available","GADM Admin 3, when available",Precise Place Name,Urban or Rural,Location Description,Care Seeking Questions,Multiple Choices,Regarding self or child,Recall time (in days),Facility or location sought as written in transcript,Type of care facility sought (standardized),N surveyed if they WOULD seek care,N who said they WOULD seek care,N surveyed if they DID seek care,N who actually DID seek care,Additional Information,Age lower (of individual with diarrhea in years),Age Upper (of individual with diarrhea in years),Proportion of individuals with diarrhea <5 years old,Sex (of individual with diarrhea),Diarrhea severity,Diarrhea symptoms,Nutrition Status,Overlapping Study,Percents converted to numbers,Comments,Extractor Initials,Status,Primary dataset,Stratified time,Stratified geographic location,Stratified urban rural,Stratified age,Stratified sex,Stratified severity,Overlaps checked,Overlaps decision,Is the data internally consistent?
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_bx,Port-Margot; female; 18-44; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Hospital,Hospital/Clinic,,,21,2,"Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",18,44,0,Female,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_bx,Port-Margot; female; 18-44; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Non- Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Other,,,21,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",18,44,0,Female,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_bx,Port-Margot; female; 18-44; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Oral rehydration points,Other,,,21,4,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",18,44,0,Female,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_bx,Port-Margot; female; 18-44; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Doctor,Public Hospital/Clinic,,,21,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",18,44,0,Female,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_bx,Port-Margot; female; 18-44; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Traditional medicine,Traditional Healer,,,21,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",18,44,0,Female,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_bx,Port-Margot; female; 18-44; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Other,Other,,,21,0,"Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",18,44,0,Female,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_by,Port-Margot; male; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Hospital/Clinic,,,14,9,"Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Male,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_by,Port-Margot; male; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Hospital,Hospital/Clinic,,,14,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Male,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_by,Port-Margot; male; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Non- Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Other,,,14,0,"Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Male,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_by,Port-Margot; male; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Oral rehydration points,Other,,,14,4,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Male,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_by,Port-Margot; male; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Doctor,Public Hospital/Clinic,,,14,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Male,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_by,Port-Margot; male; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Traditional medicine,Traditional Healer,,,14,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Male,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_by,Port-Margot; male; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Other,Other,,,14,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Male,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_bz,Port-Margot; female; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Hospital/Clinic,,,13,9,"Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Female,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_bz,Port-Margot; female; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Hospital,Hospital/Clinic,,,13,2,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Female,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_bz,Port-Margot; female; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Non- Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Other,,,13,0,"Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Female,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_bz,Port-Margot; female; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Oral rehydration points,Other,,,13,1,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Female,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_bz,Port-Margot; female; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Doctor,Public Hospital/Clinic,,,13,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Female,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_bz,Port-Margot; female; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Traditional medicine,Traditional Healer,,,13,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Female,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_bz,Port-Margot; female; 45-64; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Other,Other,,,13,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",45,64,0,Female,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ca,Port-Margot; male; 65+; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Hospital/Clinic,,,13,8,"Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",65,88,0,Male,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ca,Port-Margot; male; 65+; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Hospital,Hospital/Clinic,,,13,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",65,88,0,Male,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ca,Port-Margot; male; 65+; severe,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Non- Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Other,,,13,0,"Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",65,88,0,Male,Severe,lethargy or altered consciousness,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,0,0,1,0,1,1,1,,,
